col,family,n_assets_present,mean_missing_frac,mean_of_means,mean_of_stds,n_constant_assets
bd_bgf_imbalance_l1,bd,73,0.241,1.2419448473623904,0.4022827285700418,0
bd_depth_at_02pct,bd,104,0.3529,NaN,NaN,0
bd_depth_l1pct_mean,bd,104,0.3529,NaN,NaN,0
bd_depth_l1pct_p90,bd,104,0.3529,NaN,NaN,0
bd_imbalance_l1,bd,104,0.3529,NaN,NaN,0
bd_imbalance_l5,bd,104,0.3529,NaN,NaN,0
bd_n_snapshots,bd,104,0.3529,NaN,NaN,0
bd_notional_l1pct_mean,bd,104,0.3529,NaN,NaN,0
bd_notional_skew,bd,104,0.3529,NaN,NaN,0
bd_thin_book_frac,bd,104,0.3562,NaN,NaN,30
bd_total_depth_l5_mean,bd,104,0.3529,NaN,NaN,0
bd_total_depth_l5_p10,bd,104,0.3529,NaN,NaN,0
bs_basis_bear_shock,bs,104,0.3227,NaN,NaN,0
bs_basis_bull_shock,bs,104,0.3227,NaN,NaN,0
bs_basis_delta_1d,bs,104,0.3236,NaN,NaN,0
bs_basis_delta_3d,bs,104,0.3254,NaN,NaN,0
bs_basis_frenzy,bs,104,0.3227,NaN,NaN,46
bs_basis_panic,bs,104,0.3227,NaN,NaN,8
bs_basis_pct,bs,104,0.3227,NaN,NaN,0
bs_basis_xsec_z,bs,104,0.3227,NaN,NaN,0
bs_basis_z30,bs,104,0.3315,NaN,NaN,0
dv_dvol_close,dv,104,0.9844,NaN,NaN,0
dv_dvol_high,dv,104,0.9844,NaN,NaN,0
dv_dvol_low,dv,104,0.9844,NaN,NaN,0
etf_any_inflow_shock,etf,104,0.2866,0.088670930185687,0.2831470466108623,0
etf_both_inflow_shock,etf,104,0.2866,0.008060110993565638,0.08235666189803016,15
etf_btc_etf_inflow_shock,etf,104,0.2866,0.06014001658350087,0.23738446009106987,0
etf_btc_etf_mega_inflow,etf,104,0.2866,0.10560321778763088,0.30561823450199654,0
etf_btc_etf_mega_outflow,etf,104,0.2866,0.03782424318057771,0.18516492443633845,4
etf_btc_etf_outflow_shock,etf,104,0.2866,0.023614542525850768,0.14712270254341994,6
